source,ticker,quality_ladder,tier,horizon,window_days,outcome,outcome_bucket,date,window_end,backfill,source_record,id,url
Lee,"SPY, SPX, QQQ",Vague,D,31-60d,60,Pending,open,2026-07-01,2026-08-30,False,notion_source_call_log,391c5031-4bb6-815c-aea1-ddd4d6d96b71,https://app.notion.com/p/Lee-7-1-Macro-Minute-2H-setup-supports-buying-dips-391c50314bb6815caea1ddd4d6d96b71
Farrell,"STRC, MSTR, BTC",Target,B,31-60d,60,Pending,open,2026-07-01,2026-08-30,False,notion_source_call_log,391c5031-4bb6-816c-9ad4-cdbf68c8cdac,https://app.notion.com/p/Farrell-7-1-Crypto-Flash-STRC-near-par-is-Strategy-overhang-all-clear-threshold-391c50314bb6816c9ad4cdbf68c8cdac
Newton,"AAPL, QQQ, SPX",Vague,D,15-30d,30,Pending,open,2026-07-01,2026-07-31,False,notion_source_call_log,391c5031-4bb6-8186-a374-fb0b5eb3308b,https://app.notion.com/p/Newton-7-1-Flash-AAPL-breakout-reverses-prior-index-headwind-391c50314bb68186a374fb0b5eb3308b
Newton,"MAGS, RSP, QQQ, SPX",Vague,D,31-60d,60,Pending,open,2026-07-01,2026-08-30,False,notion_source_call_log,391c5031-4bb6-81cc-ad2e-f2a48d1f04ae,https://app.notion.com/p/Newton-7-1-Flash-MAGS-Mag-7-critical-bounce-vs-RSP-391c50314bb681ccad2ef2a48d1f04ae
Newton,"EWY, SMH, MU, WDC, LRCX, AMAT",Target,B,31-60d,60,Pending,open,2026-07-01,2026-08-30,False,notion_source_call_log,391c5031-4bb6-81ce-ace7-e7195ec8c244,https://app.notion.com/p/Newton-7-1-DTS-EWY-breakdown-can-spill-into-U-S-semis-391c50314bb681ceace7e7195ec8c244
Newton,"MAGS, RSP, AAPL, TSLA, AMZN, MSFT, META, NFLX",Vague,D,0-14d,14,Pending,open,2026-07-01,2026-07-15,False,notion_source_call_log,391c5031-4bb6-81e9-bea1-f0a4d41dd25d,https://app.notion.com/p/Newton-7-1-DTS-Mag-7-correction-may-be-ending-if-weekly-confirmation-holds-391c50314bb681e9bea1f0a4d41dd25d
Farrell,"CRCL, USDC, OUSD, stablecoins",Target,B,31-60d,60,Pending,open,2026-06-30T22:25:00.000-04:00,2026-08-29,False,notion_source_call_log,390c5031-4bb6-8163-ae9f-f62449feb5e7,https://app.notion.com/p/Farrell-6-30-Crypto-Comments-CRCL-removed-after-OpenUSD-risk-reset-390c50314bb68163ae9ff62449feb5e7
Farrell,"BTC, USDC, MSTR, STRC, QQQ, SPX",Target,B,31-60d,60,Pending,open,2026-06-30T22:25:00.000-04:00,2026-08-29,False,notion_source_call_log,390c5031-4bb6-81b4-9c99-dd91fe361cc9,https://app.notion.com/p/Farrell-6-30-Crypto-Comments-BTC-trim-to-USDC-cash-as-Strategy-overhang-persists-390c50314bb681b49c99dd91fe361cc9
Lee,"SPY, SPX, TLT, NYSE margin debt, Fed, Truflation",Directional,C,121d+,184,Pending,open,2026-06-30T20:10:00.000-04:00,2026-12-31,False,notion_source_call_log,390c5031-4bb6-8159-9ede-ed1eded205ce,https://app.notion.com/p/Lee-6-30-Macro-Minute-record-margin-debt-raises-H2-consolidation-risk-390c50314bb681599edeed1eded205ce
Newton,"GC, GLD, Gold",Directional,C,31-60d,31,Pending,open,2026-06-30T19:55:00.000-04:00,2026-07-31,False,notion_source_call_log,390c5031-4bb6-8185-a5cf-e20b556c6d50,https://app.notion.com/p/Newton-6-30-DTS-Gold-July-bottom-watch-patience-required-390c50314bb68185a5cfe20b556c6d50
