module,wired_into_daily_flow,daily_flow_reason,feeds_outcomes_back,outcome_feedback_reason,last_touched,build_and_forget_risk
src/analyst_config.py,no,no reference found in main flow index files,no,no outcome feedback keyword found,2026-06-03,high
src/battery_feed_adapter.py,no,no reference found in main flow index files,no,no outcome feedback keyword found,2026-06-16,high
src/codex_uw/__init__.py,no,no reference found in main flow index files,no,no outcome feedback keyword found,2026-06-04,high
src/codex_uw/rest_client.py,no,no reference found in main flow index files,no,no outcome feedback keyword found,2026-06-07,high
src/conviction_stack.py,no,no reference found in main flow index files,no,no outcome feedback keyword found,2026-06-05,high
src/correlation_matrix.py,no,no reference found in main flow index files,no,no outcome feedback keyword found,2026-05-28,high
src/fs_macro_view.py,no,no reference found in main flow index files,no,no outcome feedback keyword found,2026-06-03,high
src/fs_ranker.py,no,no reference found in main flow index files,no,no outcome feedback keyword found,2026-05-28,high
src/full_chain_smoke.py,no,no reference found in main flow index files,no,no outcome feedback keyword found,2026-06-03,high
src/fundstrat_add_price_backfill.py,no,no reference found in main flow index files,no,no outcome feedback keyword found,2026-06-07,high
src/golden_snapshot.json,no,no reference found in main flow index files,no,no outcome feedback keyword found,2026-06-03,high
src/institutional_signals.py,no,no reference found in main flow index files,no,no outcome feedback keyword found,2026-05-28,high
src/options_uw_adapter.py,no,no reference found in main flow index files,no,no outcome feedback keyword found,2026-06-21,high
src/prospect_surface.py,no,no reference found in main flow index files,no,no outcome feedback keyword found,2026-06-03,high
src/reddit_signal_core.py,no,no reference found in main flow index files,no,no outcome feedback keyword found,2026-05-28,high
src/snaptrade_profiles.example.json,no,no reference found in main flow index files,no,no outcome feedback keyword found,2026-06-07,high
src/source_shelf_life.json,no,no reference found in main flow index files,no,no outcome feedback keyword found,2026-06-12,high
src/volatility_opportunity_fixture_2026_06_23.json,no,no reference found in main flow index files,no,no outcome feedback keyword found,2026-07-01,high
src/account_positions.json,yes,referenced by full build/routine manifest/state/workboard/AGENTS,yes,contains outcome/disposition/calibration/receipt/notion feedback keywords,2026-07-01,low
src/account_rules.json,yes,referenced by full build/routine manifest/state/workboard/AGENTS,no,no outcome feedback keyword found,2026-06-14,low
src/account_trade_placement.py,yes,referenced by full build/routine manifest/state/workboard/AGENTS,no,no outcome feedback keyword found,2026-06-08,low
src/alert_policy.py,yes,referenced by full build/routine manifest/state/workboard/AGENTS,yes,contains outcome/disposition/calibration/receipt/notion feedback keywords,2026-06-16,low
src/analyst.py,yes,referenced by full build/routine manifest/state/workboard/AGENTS,no,no outcome feedback keyword found,2026-06-07,low
src/automation_health_watchdog.py,yes,referenced by full build/routine manifest/state/workboard/AGENTS,yes,contains outcome/disposition/calibration/receipt/notion feedback keywords,2026-06-24,low
src/battery_evidence.py,yes,referenced by full build/routine manifest/state/workboard/AGENTS,yes,contains outcome/disposition/calibration/receipt/notion feedback keywords,2026-06-16,low
src/broker_pdf_extractor.py,yes,referenced by full build/routine manifest/state/workboard/AGENTS,no,no outcome feedback keyword found,2026-06-05,low
src/build_positions_cache.py,yes,referenced by full build/routine manifest/state/workboard/AGENTS,yes,contains outcome/disposition/calibration/receipt/notion feedback keywords,2026-06-05,low
