decision_date,ticker,decision,type,status,action_taken,outcome_text,size_vs_t_band,current_pct,target_pct,decision_price_date_used,decision_price,current_price_date_used,current_price,return_to_date,return_plus_30d,return_plus_90d,full_doctrine_size_usd,current_size_usd,pnl_at_full_doctrine_size_usd,pnl_at_current_size_usd,pnl_if_acted_on_signal_date_usd,gap_reason,source_record,url
2026-06-25,GRNY,APPROVED — Net-factor-flat rotation: trim GRNY (non-PCRA) → staged adds GOOGL/AVGO/MSFT (then AMZN/VRT starters) into the 6/24 semis dip; IVES untouched; HOOD left alone,Rebalance,Active,Active,,current 7.1000% vs target 3.0000%,7.099975,3.000000,2026-06-25,27.61,2026-07-01,27.76,0.005433,,,54977.52,130113.00,298.68,706.88,,plus_30d: horizon not mature in local price series; plus_90d: horizon not mature in local price series; signal date separate from decision date not structured,notion_decisions_log,https://app.notion.com/p/APPROVED-Net-factor-flat-rotation-trim-GRNY-non-PCRA-staged-adds-GOOGL-AVGO-MSFT-then-AMZN-V-38ac50314bb681048142fbc50a23709e
2026-06-25,GOOGL,APPROVED — Net-factor-flat rotation: trim GRNY (non-PCRA) → staged adds GOOGL/AVGO/MSFT (then AMZN/VRT starters) into the 6/24 semis dip; IVES untouched; HOOD left alone,Rebalance,Active,Active,,current 5.2019% vs target 8.0000%,5.201944,8.000000,,,,357.02,,,,146606.72,95330.00,,,,to_date: no dated local price series for ticker; plus_30d: no dated local price series for ticker; plus_90d: no dated local price series for ticker; signal date separate from decision date not structured,notion_decisions_log,https://app.notion.com/p/APPROVED-Net-factor-flat-rotation-trim-GRNY-non-PCRA-staged-adds-GOOGL-AVGO-MSFT-then-AMZN-V-38ac50314bb681048142fbc50a23709e
2026-06-25,AVGO,APPROVED — Net-factor-flat rotation: trim GRNY (non-PCRA) → staged adds GOOGL/AVGO/MSFT (then AMZN/VRT starters) into the 6/24 semis dip; IVES untouched; HOOD left alone,Rebalance,Active,Active,,current 2.4088% vs target 6.0000%,2.408839,6.000000,,,,370.96,,,,109955.04,44144.00,,,,to_date: no dated local price series for ticker; plus_30d: no dated local price series for ticker; plus_90d: no dated local price series for ticker; signal date separate from decision date not structured,notion_decisions_log,https://app.notion.com/p/APPROVED-Net-factor-flat-rotation-trim-GRNY-non-PCRA-staged-adds-GOOGL-AVGO-MSFT-then-AMZN-V-38ac50314bb681048142fbc50a23709e
2026-06-25,MSFT,APPROVED — Net-factor-flat rotation: trim GRNY (non-PCRA) → staged adds GOOGL/AVGO/MSFT (then AMZN/VRT starters) into the 6/24 semis dip; IVES untouched; HOOD left alone,Rebalance,Active,Active,,current 1.8993% vs target 5.0000%,1.899285,5.000000,,,,373.95,,,,91629.20,34806.00,,,,to_date: no dated local price series for ticker; plus_30d: no dated local price series for ticker; plus_90d: no dated local price series for ticker; signal date separate from decision date not structured,notion_decisions_log,https://app.notion.com/p/APPROVED-Net-factor-flat-rotation-trim-GRNY-non-PCRA-staged-adds-GOOGL-AVGO-MSFT-then-AMZN-V-38ac50314bb681048142fbc50a23709e
2026-06-25,AMZN,APPROVED — Net-factor-flat rotation: trim GRNY (non-PCRA) → staged adds GOOGL/AVGO/MSFT (then AMZN/VRT starters) into the 6/24 semis dip; IVES untouched; HOOD left alone,Rebalance,Active,Active,,current 1.1705% vs target 4.0000%,1.170478,4.000000,,,,241.01,,,,73303.36,21450.00,,,,to_date: no dated local price series for ticker; plus_30d: no dated local price series for ticker; plus_90d: no dated local price series for ticker; signal date separate from decision date not structured,notion_decisions_log,https://app.notion.com/p/APPROVED-Net-factor-flat-rotation-trim-GRNY-non-PCRA-staged-adds-GOOGL-AVGO-MSFT-then-AMZN-V-38ac50314bb681048142fbc50a23709e
2026-06-25,VRT,APPROVED — Net-factor-flat rotation: trim GRNY (non-PCRA) → staged adds GOOGL/AVGO/MSFT (then AMZN/VRT starters) into the 6/24 semis dip; IVES untouched; HOOD left alone,Rebalance,Active,Active,,unknown,0.697321,,,,,311.68,,,,,12779.00,,,,to_date: no dated local price series for ticker; plus_30d: no dated local price series for ticker; plus_90d: no dated local price series for ticker; signal date separate from decision date not structured,notion_decisions_log,https://app.notion.com/p/APPROVED-Net-factor-flat-rotation-trim-GRNY-non-PCRA-staged-adds-GOOGL-AVGO-MSFT-then-AMZN-V-38ac50314bb681048142fbc50a23709e
2026-06-25,IVES,APPROVED — Net-factor-flat rotation: trim GRNY (non-PCRA) → staged adds GOOGL/AVGO/MSFT (then AMZN/VRT starters) into the 6/24 semis dip; IVES untouched; HOOD left alone,Rebalance,Active,Active,,unknown,3.696147,,,,,37.68,,,,,67735.00,,,,to_date: no dated local price series for ticker; plus_30d: no dated local price series for ticker; plus_90d: no dated local price series for ticker; signal date separate from decision date not structured,notion_decisions_log,https://app.notion.com/p/APPROVED-Net-factor-flat-rotation-trim-GRNY-non-PCRA-staged-adds-GOOGL-AVGO-MSFT-then-AMZN-V-38ac50314bb681048142fbc50a23709e
2026-06-25,HOOD,APPROVED — Net-factor-flat rotation: trim GRNY (non-PCRA) → staged adds GOOGL/AVGO/MSFT (then AMZN/VRT starters) into the 6/24 semis dip; IVES untouched; HOOD left alone,Rebalance,Active,Active,,unknown,0.157483,,,,,1443.00,,,,,2886.00,,,,to_date: no dated local price series for ticker; plus_30d: no dated local price series for ticker; plus_90d: no dated local price series for ticker; signal date separate from decision date not structured,notion_decisions_log,https://app.notion.com/p/APPROVED-Net-factor-flat-rotation-trim-GRNY-non-PCRA-staged-adds-GOOGL-AVGO-MSFT-then-AMZN-V-38ac50314bb681048142fbc50a23709e
2026-06-25,SMH,APPROVED — Net-factor-flat rotation: trim GRNY (non-PCRA) → staged adds GOOGL/AVGO/MSFT (then AMZN/VRT starters) into the 6/24 semis dip; IVES untouched; HOOD left alone,Rebalance,Active,Active,,unknown,5.268190,,2026-06-25,598.93,2026-07-01,627.53,0.047752,,,,96544.00,,4610.15,,plus_30d: horizon not mature in local price series; plus_90d: horizon not mature in local price series; signal date separate from decision date not structured,notion_decisions_log,https://app.notion.com/p/APPROVED-Net-factor-flat-rotation-trim-GRNY-non-PCRA-staged-adds-GOOGL-AVGO-MSFT-then-AMZN-V-38ac50314bb681048142fbc50a23709e
2026-06-25,MU,APPROVED — Net-factor-flat rotation: trim GRNY (non-PCRA) → staged adds GOOGL/AVGO/MSFT (then AMZN/VRT starters) into the 6/24 semis dip; IVES untouched; HOOD left alone,Rebalance,Active,Active,,current 4.0439% vs target 3.0000%,4.043853,3.000000,,,,1140.11,,,,54977.52,74107.00,,,,to_date: no dated local price series for ticker; plus_30d: no dated local price series for ticker; plus_90d: no dated local price series for ticker; signal date separate from decision date not structured,notion_decisions_log,https://app.notion.com/p/APPROVED-Net-factor-flat-rotation-trim-GRNY-non-PCRA-staged-adds-GOOGL-AVGO-MSFT-then-AMZN-V-38ac50314bb681048142fbc50a23709e
